Estimator: 000 | Epoch: 002 | Batch: 900 | Loss: 0.78884 | Correct: 23/32
Estimator: 001 | Epoch: 002 | Batch: 000 | Loss: 0.81802 | Correct: 18/32
Estimator: 001 | Epoch: 002 | Batch: 100 | Loss: 0.61081 | Correct: 23/32
Estimator: 001 | Epoch: 002 | Batch: 200 | Loss: 0.57817 | Correct: 25/32
Estimator: 001 | Epoch: 002 | Batch: 300 | Loss: 0.50801 | Correct: 25/32
Estimator: 001 | Epoch: 002 | Batch: 400 | Loss: 0.82522 | Correct: 19/32
Estimator: 001 | Epoch: 002 | Batch: 500 | Loss: 0.71207 | Correct: 22/32
Estimator: 001 | Epoch: 002 | Batch: 600 | Loss: 0.61061 | Correct: 25/32
Estimator: 001 | Epoch: 002 | Batch: 700 | Loss: 0.73840 | Correct: 23/32
Estimator: 001 | Epoch: 002 | Batch: 800 | Loss: 0.58606 | Correct: 23/32
Estimator: 001 | Epoch: 002 | Batch: 900 | Loss: 0.70736 | Correct: 22/32
Estimator: 002 | Epoch: 002 | Batch: 000 | Loss: 0.89808 | Correct: 18/32
Estimator: 002 | Epoch: 002 | Batch: 100 | Loss: 0.77490 | Correct: 25/32
Estimator: 002 | Epoch: 002 | Batch: 200 | Loss: 0.71235 | Correct: 24/32
Estimator: 002 | Epoch: 002 | Batch: 300 | Loss: 0.78879 | Correct: 20/32
Estimator: 002 | Epoch: 002 | Batch: 400 | Loss: 0.73605 | Correct: 20/32
Estimator: 002 | Epoch: 002 | Batch: 500 | Loss: 0.77479 | Correct: 20/32
Estimator: 002 | Epoch: 002 | Batch: 600 | Loss: 0.79884 | Correct: 18/32
Estimator: 002 | Epoch: 002 | Batch: 700 | Loss: 0.74216 | Correct: 22/32
Estimator: 002 | Epoch: 002 | Batch: 800 | Loss: 0.49543 | Correct: 26/32
Estimator: 002 | Epoch: 002 | Batch: 900 | Loss: 0.63515 | Correct: 26/32
Estimator: 003 | Epoch: 002 | Batch: 000 | Loss: 0.71575 | Correct: 24/32
Estimator: 003 | Epoch: 002 | Batch: 100 | Loss: 0.77362 | Correct: 23/32
Estimator: 003 | Epoch: 002 | Batch: 200 | Loss: 0.63631 | Correct: 21/32
Estimator: 003 | Epoch: 002 | Batch: 300 | Loss: 0.47736 | Correct: 26/32
Estimator: 003 | Epoch: 002 | Batch: 400 | Loss: 0.69123 | Correct: 23/32
Estimator: 003 | Epoch: 002 | Batch: 500 | Loss: 0.45496 | Correct: 28/32
Estimator: 003 | Epoch: 002 | Batch: 600 | Loss: 0.91870 | Correct: 20/32
Estimator: 003 | Epoch: 002 | Batch: 700 | Loss: 0.83376 | Correct: 21/32
Estimator: 003 | Epoch: 002 | Batch: 800 | Loss: 0.84468 | Correct: 21/32
Estimator: 003 | Epoch: 002 | Batch: 900 | Loss: 0.63200 | Correct: 23/32
Estimator: 004 | Epoch: 002 | Batch: 000 | Loss: 0.76560 | Correct: 25/32
Estimator: 004 | Epoch: 002 | Batch: 100 | Loss: 0.69843 | Correct: 22/32
Estimator: 004 | Epoch: 002 | Batch: 200 | Loss: 0.57357 | Correct: 25/32
Estimator: 004 | Epoch: 002 | Batch: 300 | Loss: 0.58538 | Correct: 23/32
Estimator: 004 | Epoch: 002 | Batch: 400 | Loss: 0.66854 | Correct: 26/32
Estimator: 004 | Epoch: 002 | Batch: 500 | Loss: 0.71296 | Correct: 23/32
Estimator: 004 | Epoch: 002 | Batch: 600 | Loss: 0.52965 | Correct: 25/32
Estimator: 004 | Epoch: 002 | Batch: 700 | Loss: 0.67433 | Correct: 22/32
Estimator: 004 | Epoch: 002 | Batch: 800 | Loss: 0.43989 | Correct: 24/32
Estimator: 004 | Epoch: 002 | Batch: 900 | Loss: 0.70489 | Correct: 22/32
Estimator: 000 | Epoch: 003 | Batch: 000 | Loss: 0.59018 | Correct: 27/32
Estimator: 000 | Epoch: 003 | Batch: 100 | Loss: 0.29644 | Correct: 30/32
Estimator: 000 | Epoch: 003 | Batch: 200 | Loss: 0.58892 | Correct: 22/32
Estimator: 000 | Epoch: 003 | Batch: 300 | Loss: 0.19751 | Correct: 30/32
Estimator: 000 | Epoch: 003 | Batch: 400 | Loss: 0.49943 | Correct: 26/32
Estimator: 000 | Epoch: 003 | Batch: 500 | Loss: 0.33635 | Correct: 27/32
Estimator: 000 | Epoch: 003 | Batch: 600 | Loss: 0.55900 | Correct: 25/32
Estimator: 000 | Epoch: 003 | Batch: 700 | Loss: 0.49727 | Correct: 26/32
Estimator: 000 | Epoch: 003 | Batch: 800 | Loss: 0.37677 | Correct: 30/32
Estimator: 000 | Epoch: 003 | Batch: 900 | Loss: 0.44928 | Correct: 26/32
Estimator: 001 | Epoch: 003 | Batch: 000 | Loss: 0.34978 | Correct: 31/32
Estimator: 001 | Epoch: 003 | Batch: 100 | Loss: 0.33089 | Correct: 28/32
Estimator: 001 | Epoch: 003 | Batch: 200 | Loss: 0.29523 | Correct: 28/32
Estimator: 001 | Epoch: 003 | Batch: 300 | Loss: 0.52994 | Correct: 26/32
Estimator: 001 | Epoch: 003 | Batch: 400 | Loss: 0.47902 | Correct: 26/32
Estimator: 001 | Epoch: 003 | Batch: 500 | Loss: 0.36432 | Correct: 26/32
Estimator: 001 | Epoch: 003 | Batch: 600 | Loss: 0.62431 | Correct: 26/32
Estimator: 001 | Epoch: 003 | Batch: 700 | Loss: 0.30701 | Correct: 29/32
Estimator: 001 | Epoch: 003 | Batch: 800 | Loss: 0.57378 | Correct: 26/32
Estimator: 001 | Epoch: 003 | Batch: 900 | Loss: 0.30007 | Correct: 29/32
Estimator: 002 | Epoch: 003 | Batch: 000 | Loss: 0.44009 | Correct: 24/32
Estimator: 002 | Epoch: 003 | Batch: 100 | Loss: 0.22189 | Correct: 29/32
Estimator: 002 | Epoch: 003 | Batch: 200 | Loss: 0.39035 | Correct: 26/32
Estimator: 002 | Epoch: 003 | Batch: 300 | Loss: 0.51723 | Correct: 25/32
Estimator: 002 | Epoch: 003 | Batch: 400 | Loss: 0.50317 | Correct: 24/32
